area,dept,section,data,message
Manhattan,or-cases,2010,145995,
Manhattan,or-cases,2011,172882,
Manhattan,or-cases,2012,138341,
Manhattan,or-cases,2013,160959,
Manhattan,or-cases,2014,156686,
Manhattan,or-cases,2015,137811,
Manhattan,or-cases,2016,182613,
Manhattan,or-cases,2017,114885,
Manhattan,or-cases,2018,113789,
Manhattan,or-cases,2019,175229,
Manhattan,or-cases,2020,192734,This is a test
Manhattan,or-cases,2021,123873,
Manhattan,or-cases,2022,135070,
Manhattan,or-cases,2023,104262,
Manhattan,or-cases,2024,152449,
Manhattan,or-cases,2025,127805,
Manhattan,or-cases,2026,188785,
Manhattan,or-cases,2027,177988,
Manhattan,or-cases,2028,101974,
Manhattan,or-cases,Annual Growth,1.5,
Manhattan,or-cases,Video Link,#,
Manhattan,or-cases,Video Photo,Assets/img/videoicon.png,
Manhattan,or-cases,Graph Link,#,
Manhattan,or-cases,Graph Photo,,
Manhattan,clinic-visits,2010,124555,
Manhattan,clinic-visits,2011,115418,This is a test
Manhattan,clinic-visits,2012,151255,
Manhattan,clinic-visits,2013,199243,
Manhattan,clinic-visits,2014,196272,
Manhattan,clinic-visits,2015,134649,
Manhattan,clinic-visits,2016,156911,
Manhattan,clinic-visits,2017,184006,
Manhattan,clinic-visits,2018,187772,
Manhattan,clinic-visits,2019,184848,
Manhattan,clinic-visits,2020,176255,
Manhattan,clinic-visits,2021,162892,
Manhattan,clinic-visits,2022,156433,
Manhattan,clinic-visits,2023,193991,
Manhattan,clinic-visits,2024,187464,
Manhattan,clinic-visits,2025,189377,
Manhattan,clinic-visits,2026,188459,
Manhattan,clinic-visits,2027,113481,
Manhattan,clinic-visits,2028,198607,
Manhattan,clinic-visits,Annual Growth,2.1,
Manhattan,clinic-visits,Video Link,#,
Manhattan,clinic-visits,Video Photo,Assets/img/videoicon.png,
Manhattan,clinic-visits,Graph Link,#,
Manhattan,clinic-visits,Graph Photo,,
Manhattan,transplants,2010,111400,
Manhattan,transplants,2011,143788,
Manhattan,transplants,2012,138842,
Manhattan,transplants,2013,108007,
Manhattan,transplants,2014,102524,
Manhattan,transplants,2015,124908,
Manhattan,transplants,2016,113453,
Manhattan,transplants,2017,143810,
Manhattan,transplants,2018,119525,
Manhattan,transplants,2019,133796,
Manhattan,transplants,2020,165332,
Manhattan,transplants,2021,127199,
Manhattan,transplants,2022,164538,This is a test
Manhattan,transplants,2023,107561,
Manhattan,transplants,2024,150098,
Manhattan,transplants,2025,119402,
Manhattan,transplants,2026,137297,
